V1	V2
BRCA1	AR
BRCA1	BCL2
BRCA1	CTSD
BRCA1	CYP19A1
BRCA1	SP1
BRCA1	VEGFA
BRCA1	USF2
BRCA1	STAT5A
BRCA1	SMAD4
BRCA1	GADD45A
BRCA1	FOXC1
BRCA1	SMAD3
BRCA1	SMARCA4
BRCA1	HIF1A
BRCA1	STAT3
BRCA1	DDIT3
BRCA1	BACH1
BRCA1	ETS1
BRCA1	E2F6
BRCA1	CHEK2
BRCA1	ATF1
BRCA1	ELK1
BRCA1	RB1
BRCA1	EGR1
BRCA1	CXCL1
BRCA1	ATM
BRCA1	CASP3
BRCA1	DDB2
BRCA1	PCNA
BRCA1	NBN
BRCA1	CDK1
BRCA1	HDAC1
BRCA1	UBE2D3
BRCA1	JAK1
BRCA1	IFI16
BRCA1	E2F4
BRCA1	DCLRE1C
BRCA1	BRIP1
BTG2	CCND1
BTG2	HRAS
BTG2	KLK3
BTG2	SPHK1
BTG2	CNOT8
CDH1	CTNNB1
CDK4	RB1
CDKN1A	CCND1
CDKN1A	CDK4
CDKN1A	CASP3
CEBPB	ESR1
CEBPB	FOS
CEBPB	CDKN1A
CEBPB	CYP19A1
CEBPB	PLAC1
CEBPB	GADD45G
CEBPB	STAT5A
CEBPB	SMAD4
CEBPB	PPARG
CEBPB	NR2F2
CEBPB	NOS2
CEBPB	MYB
CEBPB	SMAD3
CEBPB	SMARCA4
CEBPB	XBP1
CEBPB	CD68
CEBPB	INSR
CEBPB	CIITA
CEBPB	NR3C1
CEBPB	SRF
CEBPB	STAT3
CEBPB	STAT6
CEBPB	TNF
CEBPB	CRP
CEBPB	CXCL8
CEBPB	DDIT3
CEBPB	PTGS2
CEBPB	SPI1
CEBPB	FOSL1
CEBPB	F3
CEBPB	WNT10B
CEBPB	TGFB1
CEBPB	SMARCB1
CEBPB	LIFR
CEBPB	ISG20
CEBPB	IL12B
CEBPB	IKZF3
CEBPB	CXCL14
CEBPB	CHEK2
CEBPB	CCL5
CEBPB	CCL3
CEBPB	ELK1
CEBPB	ABCB1
CEBPB	FASLG
CEBPB	IL23A
CEBPB	IL24
CEBPB	VCAM1
CEBPB	CCND2
CEBPB	TNFRSF8
CEBPB	SOD1
CEBPB	PLK3
CEBPB	IL5
CEBPB	GNLY
CEBPB	EGR1
CEBPB	CXCL1
CEBPB	IRAK1
CEBPB	TCF4
CEBPB	CD14
CEBPB	CREB1
CEBPB	PTEN
CEBPB	NFE2
CEBPB	PSME2
CEBPB	IL13
CEBPB	HMGB1
CEBPB	FURIN
CEBPB	CSF3R
CEBPB	CD19
CEBPB	CCRL2
CEBPB	C1RL
CEBPB	PTGES2
CEBPB	IL15RA
CEBPB	HSP90B1
CEBPB	CCL13
CEBPB	IL19
CEBPB	XRCC5
CEBPB	CR2
CEBPB	SETD1B
CEBPB	PPP3CA
CEBPB	EXT1
CEBPB	TNFSF13B
CEBPB	IL18BP
CEBPB	CCL11
CEBPB	PPP3CB
CEBPB	PRG2
CEBPB	IL17C
CEBPB	IRAK1BP1
CEBPB	MRC2
CEBPB	PAFAH2
CEBPB	PSTPIP1
CTNNB1	CCND1
CTNNB1	CDH1
CTNNB1	FLT1
