PCBP1
AHR
EGR1
YY1
COTL1
MT2A
BTG2
CCL5
CD69
CD99
CTSA
DUSP4
EMP3
FOS
FOSB
HLA-DRA
IL2RB
IL2RG
ISG15
MIF
NBEAL1
PTMS
PTPRCAP
REL
TNF
ANXA1
JUNB
